counter,treatment,plant.no,farm,branch.code,total.berries,berry.no,mass,brix,big.seeds,med.seeds,lil.seeds
EEO,E,193,,CLA,4,3,0.4566,12,0,47,5
EEO,E,193,,CLA,4,4,1.4042,11,27,29,11
EEO,E,193,,HPLA,4,1,2.3344,14,78,5,7
EEO,E,193,,HPLA,4,2,1.9269,12,77,4,7
EEO,E,193,,HPLA,4,3,1.9437,10,33,8,4
EEO,E,193,,HPLA,4,4,2.5109,11,80,4,6
MM,E,193,,HPLA,1,5,1.1147,10,9,59,11
MM,E,346,,HPLA,1,1,2.1774,7,44,34,7
MM,E,346,,HPLA,1,2,2.4672,11,42,41,12
MM,E,346,,HPLA,2,3,1.3331,11,10,61,13
MM,E,346,,HPLA,2,4,1.7488,12,31,33,5
MM,E,346,,HPLA,1,5,2.0298,9,43,35,12
MM,E,346,,CLA,1,1,0.9716,13,13,39,13
MM,E,346,,CLA,1,1,1.4866,13,8,49,17
MM,E,346,,CLB,1,1,2.0762,11,35,49,13
MM,E,347,,HPLA,3,1,1.8027,9,36,37,4
MM,E,347,,HPLA,3,2,1.5978,12,31,44,3
MM,E,347,,HPLA,3,3,1.4771,13,36,43,4
MM,E,347,,HPLA,3,4,1.4591,12,30,42,14
MM,E,347,,HPLA,3,5,2.1466,15,29,44,4
MM,E,347,,Untagged,1,1,2.1752,18,32,32,18
MM,E,347,,Untagged,3,2,2.3015,12,43,28,14
MM,E,347,,Untagged,3,3,1.8087,10,31,36,7
MM,E,347,,Untagged,3,4,2.0924,11,36,35,11
MM,E,347,,CLA,1,1,1.6703,10,28,49,12
MM,E,208,,CLA,4,1,1.2764,11,23,52,7
MM,E,208,,CLA,4,2,1.6473,10,42,32,13
MM,E,208,,CLA,5,3,1.9346,11,32,42,6
MM,E,208,,CLA,5,4,1.5538,11,9,69,13
MM,E,208,,CLA,5,5,1.8288,9,15,64,11
MM,E,214,,HPLA,1,1,1.5575,11,59,29,5
MM,E,214,,HPLA,1,2,1.4423,14,54,33,15
